releasedate, comments
March 24\textsuperscript{th} 2021, First major release
March 2\textsuperscript{nd} 2022, Added hyperlinks to third-party software. Added links to software repositories. Extended information on software utilities.
March 25\textsuperscript{th} 2022, Modified UML diagrams to incorporate the latest features from software.
